VMName,ResourceGroupName,AzTenantId,AzSubscriptionId,TOPdeskActivity
NLAZWLSAPC01P,sap-prd-we-rg,de600c19-eb8d-4d21-a7cb-69707b0300a4,da07a388-f278-49f0-9e8e-42f481c8cc2d,sp4
NLAZWLSAPC02P,sap-prd-we-rg,de600c19-eb8d-4d21-a7cb-69707b0300a4,da07a388-f278-49f0-9e8e-42f481c8cc2d,sp4
NLAZWLSAPP01P,sap-prd-we-rg,de600c19-eb8d-4d21-a7cb-69707b0300a4,da07a388-f278-49f0-9e8e-42f481c8cc2d,sp4
NLAZWLSAPP02P,sap-prd-we-rg,de600c19-eb8d-4d21-a7cb-69707b0300a4,da07a388-f278-49f0-9e8e-42f481c8cc2d,sp4
NLAZWLSAPW01P,sap-prd-we-rg,de600c19-eb8d-4d21-a7cb-69707b0300a4,da07a388-f278-49f0-9e8e-42f481c8cc2d,sp4
NLAZWLSAPW02P,sap-prd-we-rg,de600c19-eb8d-4d21-a7cb-69707b0300a4,da07a388-f278-49f0-9e8e-42f481c8cc2d,sp4
